parent_code,code,name,type,asset_type,method_number_min,method_number,account_asset_id,account_depreciation_id,account_expense_id,account_income_id,method,method_time,method_period
2_1_23_3,2_1_23_3_1,Masini si utilaje pentru prepararea mancarurilor - marmite,normal,fixed,60,108,213100,281300,681100,758300,linear,number,1
2_1_23,2_1_23_4,"Automate si semiautomate comerciale. Jocuri de noroc mecanice, electrice, electronice, mese de biliard, etc.",normal,fixed,60,108,213100,281300,681100,758300,linear,number,1
2_1_23,2_1_23_5,"Unelte, dispozitive, instrumente pentru circulatia marfurilor, containere si transcontainere",normal,fixed,48,96,213100,281300,681100,758300,linear,number,1
2_1_23,2_1_23_6,"Alte masini, utilaje si instalatii neregasite in cadrul clasei 2.1.23.",normal,fixed,60,108,213100,281300,681100,758300,linear,number,1
2_1,2_1_24,"Masini, utilaje si instalatii pentru gospodaria comunala si spalatorii",view,none,,,,,,,,,
2_1_24,2_1_24_1,Masini pentru spalatorii si curatatorii chimice,normal,fixed,72,120,213100,281300,681100,758300,linear,number,1
2_1_24,2_1_24_2,"Masini, utilaje si instalatii de salubritate si ingrijirea spatiilor verzi",normal,fixed,72,120,213100,281300,681100,758300,linear,number,1
2_1_24,2_1_24_3,"Masini, echipamente si instalatii pentru stins incendii, in afara de:",normal,fixed,96,144,213100,281300,681100,758300,linear,number,1
2_1_24_3,2_1_24_3_1,"Masini, echipamente si instalatii pentru stins incendii - centrale de avertizare si semnalizare",normal,fixed,144,216,213100,281300,681100,758300,linear,number,1
2_1_24,2_1_24_4,"Utilaje si instalatii pentru alimentarea cu apa, pentru tratarea apelor de alimentare si epurarea apelor uzate, in afara de:",normal,fixed,228,348,213100,281300,681100,758300,linear,number,1
2_1_24_4,2_1_24_4_1,"Utilaje si instalatii pentru alimentarea cu apa, pentru tratarea apelor de alimentare si epurarea apelor uzate - aparate de clorinare",normal,fixed,60,108,213100,281300,681100,758300,linear,number,1
2_1_24_4,2_1_24_4_2,"Utilaje si instalatii pentru alimentarea cu apa, pentru tratarea apelor de alimentare si epurarea apelor uzate - poduri racloare",normal,fixed,288,432,213100,281300,681100,758300,linear,number,1
2_1_24,2_1_24_5,"Masini, utilaje si instalatii pentru tratarea deseurilor menajere",normal,fixed,96,144,213100,281300,681100,758300,linear,number,1
2_1_24,2_1_24_6,"Recipiente pentru depozitarea deseurilor menajere, in afara de:",normal,fixed,72,120,213100,281300,681100,758300,linear,number,1
2_1_24_6,2_1_24_6_1,Recipiente pentru depozitarea deseurilor menajere - rampe ecologice,normal,fixed,48,72,213100,281300,681100,758300,linear,number,1
2_1_24,2_1_24_7,"Alte masini, utilaje si instalatii neregasite in cadrul clasei 2.1.24.",normal,fixed,144,216,213100,281300,681100,758300,linear,number,1
2_1,2_1_25,"Masini, utilaje si instalatii pentru ocrotirea sanatatii",view,none,,,,,,,,,
2_1_25,2_1_25_1,"Aparate si instrumente pentru oftalmologie, pentru oto-rino-laringologie. Aparate si instrumente pentru stomatologie. Aparate si instalatii pentru fizioterapie. Aparate si instalatii de laborator pentru analize medicale. Utilaje, instalatii si aparate pentru ocrotirea sanatatii (sterilizare, dezinfectii, dezinsectii).",normal,fixed,96,144,213100,281300,681100,758300,linear,number,1
2_1_25,2_1_25_2,"Aparate si instrumente pentru diagnostic, pentru chirurgie, pentru narcoza si reanimare, in afara de:",normal,fixed,96,144,213100,281300,681100,758300,linear,number,1
2_1_25_2,2_1_25_2_1,"Aparate si instrumente pentru diagnostic, pentru chirurgie, pentru narcoza si reanimare - aparate de inalta tehnologie;- aparate pentru masurarea presiunii arteriale",normal,fixed,48,96,213100,281300,681100,758300,linear,number,1
2_1_25,2_1_25_3,"Aparate, instrumente, utilaje si instalatii pentru radiologie",normal,fixed,108,180,213100,281300,681100,758300,linear,number,1
